STATION,NAME,DATE,AWND,TAVG,TMAX,TMIN,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,"PROVIDENCE, RI US",2005-02-11,16.78,32,36,27,30,,,,,,,,,,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-12,9.4,33,39,26,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-13,8.72,34,41,26,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-14,9.17,31,40,21,17.9,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-15,9.62,43,52,34,25.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-16,8.95,43,54,31,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-17,8.05,34,39,29,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-18,13.2,25,34,16,23,,,,,,,,,,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-19,9.17,21,29,13,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-20,6.93,26,34,18,17,,,,,,,,,,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-21,10.96,29,33,25,17,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-22,10.07,30,33,26,21,1,,,,,1,,,,,,1,,1,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-23,8.5,31,37,24,17.9,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-24,10.07,24,29,18,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-25,10.29,25,30,19,21,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-02-26,6.49,24,35,13,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-27,9.17,28,35,20,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-02-28,10.74,27,36,18,23.9,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-03-01,10.74,30,32,27,25.1,1,,,,,,,,,,,1,,,,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-03-02,14.54,30,35,24,25.1,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-03,14.32,24,29,19,23,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-04,10.29,25,33,16,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-05,8.28,30,40,19,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-06,9.4,34,41,26,25.1,,,,,,,,,,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-07,10.51,40,47,32,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-08,14.32,30,44,16,36.9,1,1,,1,,,,,1,,,1,,,1,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-03-09,16.55,18,25,11,32,,,,,,,,,1,,,,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-10,9.17,22,30,13,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-11,5.59,25,32,18,15,1,1,,,,,,,,,,1,,,,,1,,,1
USW00014765,"PROVIDENCE, RI US",2005-03-12,8.05,34,35,32,17,1,1,,,,,,,,,,1,,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-13,6.04,34,38,30,13,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-14,10.96,34,42,25,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-15,11.63,37,46,28,23,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-16,10.96,38,46,29,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-17,7.38,37,46,27,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-18,8.5,37,47,26,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-19,6.71,39,49,29,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-20,5.82,38,48,27,14.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-21,3.58,36,43,29,12.1,1,,,,,,,,,,,1,,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-22,8.5,41,55,26,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-23,9.17,38,46,29,17,1,,,,,,,,,,,1,,,,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-24,13.2,36,41,30,25.9,1,,,,,,,,,,,1,1,,1,,1,,,
USW00014765,"PROVIDENCE, RI US",2005-03-25,8.5,41,52,30,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-26,8.28,38,47,29,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-27,5.82,37,47,27,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-28,8.5,43,50,35,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-29,14.32,47,53,41,23.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-30,8.28,50,61,39,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-03-31,6.49,44,55,32,14.1,,,,,,,,1,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-01,6.49,45,52,38,16.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-02,14.32,48,57,39,36,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-03,14.54,48,56,40,38,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-04,11.41,48,55,40,21,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-05,8.5,50,64,36,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-06,6.49,49,57,40,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-07,9.84,56,71,40,28,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-08,7.16,50,58,42,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-09,8.28,50,61,39,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-10,6.04,50,65,34,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-11,11.86,46,54,38,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-12,10.96,43,54,32,23,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-13,7.38,43,52,34,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-14,11.63,46,57,34,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-15,13.2,45,54,36,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-16,7.61,46,60,32,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-17,6.71,49,64,33,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-18,7.83,59,73,44,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-19,7.83,53,69,37,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-20,12.3,67,86,47,25.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-21,10.51,50,61,39,23.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-22,9.4,47,58,35,21.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-23,12.3,55,63,46,23.9,1,1,,,,,,1,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-24,15.21,51,59,42,33.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-25,12.75,47,51,42,25.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-26,10.29,53,68,38,25.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-27,10.07,53,56,50,23,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-28,11.63,53,65,41,32,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-29,10.96,52,63,40,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-04-30,7.61,52,57,47,17,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-01,6.49,54,62,46,19.9,1,1,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-02,11.86,51,61,40,28,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-03,7.83,50,58,41,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-04,6.71,48,57,39,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-05,6.71,49,62,36,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-06,8.28,47,55,39,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-07,22.59,45,47,42,36.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-08,22.15,48,53,42,34.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-09,14.09,52,56,47,23,,,,,,,,,,,,,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-10,7.83,58,67,48,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-11,9.4,53,62,44,23,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-12,12.97,56,65,46,30,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-13,10.07,52,64,40,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-14,6.49,55,61,49,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-15,5.82,57,66,47,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-16,8.05,55,64,45,14.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-17,7.16,57,65,48,19.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-18,5.14,55,62,47,16.1,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-19,6.71,56,65,46,14.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-20,6.49,54,63,44,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-21,13.2,51,58,43,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-22,7.38,53,59,46,19.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-23,8.05,51,57,45,21,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-24,15.88,48,50,45,28,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-25,24.16,46,48,44,33.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-26,14.54,51,56,46,29.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-27,7.61,58,65,51,16.1,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-28,8.5,65,77,53,21,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-29,5.59,65,75,54,15,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-30,6.49,64,76,52,25.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-05-31,8.05,59,68,50,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-01,7.83,60,69,51,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-02,9.62,57,64,50,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-03,7.83,64,75,53,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-04,3.8,69,80,58,13,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-05,5.37,74,88,59,15,,,,,,,,1,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-06,9.4,65,72,58,17,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-07,10.74,74,86,62,23.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-08,6.71,75,87,62,17,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-09,8.05,77,87,66,17.9,,,,,,,,1,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-10,10.51,74,80,67,21,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-11,9.62,77,87,67,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-12,8.05,78,88,67,15,,,,,,,,1,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-13,8.5,83,92,73,17,,,,,,,,1,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-14,7.61,75,93,56,29.1,1,,,,,,,1,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-15,10.51,55,59,51,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-16,5.59,59,67,51,14.1,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-17,6.93,66,76,55,17.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-18,5.82,62,70,53,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-19,8.95,60,67,53,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-20,7.16,61,73,49,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-21,9.17,67,82,52,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-22,7.83,68,76,60,21,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-23,8.95,66,76,55,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-24,9.84,70,85,55,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-25,10.74,80,93,66,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-26,7.38,82,94,70,16.1,,,,,,,,1,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-27,8.72,75,82,68,19.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-28,7.38,73,78,68,15,1,1,,,,,,1,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-29,9.62,80,90,70,23,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-06-30,6.71,71,75,67,14.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-01,4.7,73,79,67,13,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-02,8.95,74,82,66,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-03,7.61,70,81,59,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-04,5.37,68,80,56,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-05,8.72,69,83,55,17.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-06,9.17,68,74,62,23,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-07,13.87,64,69,59,21.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-08,10.74,60,63,57,19.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-09,9.84,69,81,56,23.9,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-10,10.07,77,91,63,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-11,8.95,83,93,72,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-12,8.5,73,83,63,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-13,8.05,68,73,62,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-14,8.5,75,85,65,17.9,1,,,,,,,1,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-15,5.82,79,88,69,15,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-16,6.49,76,84,67,17,1,1,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-17,7.61,75,81,68,14.1,1,1,,,,,,1,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-18,8.28,77,82,72,15,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-19,6.93,84,94,74,17.9,1,,1,,,,,1,,,,1,1,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-20,7.61,82,91,73,17,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-21,6.26,77,86,68,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-22,7.16,81,94,68,21.9,,,1,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-23,10.51,77,86,68,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-24,7.83,73,86,60,15,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-25,12.08,77,84,70,25.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-26,9.4,82,96,67,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-27,11.41,84,95,73,21.9,1,,1,,,,,1,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-28,11.41,72,80,63,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-29,8.05,73,88,57,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-30,5.14,77,85,68,12.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-07-31,6.04,72,79,65,12.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-01,7.83,,86,63,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-02,6.71,,92,69,15,,,,,,,,,,,,,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-03,7.38,,95,70,19.9,,,1,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-04,7.38,,86,68,16.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-05,9.4,,99,72,23.9,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-06,8.05,,86,64,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-07,7.16,,84,62,17,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-08,8.28,,91,67,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",2005-08-09,7.61,,86,73,23,1,,,,,,,,,,,1,,,1,,,,,
